handle,title,productType,sourceUrl,reason
dtfva-custom-shaka-wear-max-heavyweight-short-sleeve-t-shirt-premium-blank,Custom Shaka Wear Max Heavyweight Short Sleeve T-Shirt - Premium Blank,Competitor Parity,https://dtfvirginia.com/products/custom-shaka-wear-max-heavyweight-short-sleeve-t-shirt-premium-blank,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-american-apparel-unisex-heavyweight-cotton-long-sleeve-t-shirt,Custom American Apparel Unisex Heavyweight Cotton Long Sleeve T-Shirt,Competitor Parity,https://dtfvirginia.com/products/custom-american-apparel-unisex-heavyweight-cotton-long-sleeve-t-shirt,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-party-banners-1,Party Banners,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/party-banners-1,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-party-banners,Party Banners,Gang Sheet,https://dtfvirginia.com/products/party-banners,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-dtf-transfer-by-size-189,UV DTF Transfer By Size,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/uv-dtf-transfer-by-size-189,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-leather-hat-patches-7,UV-Printed Custom Leather Hat Patches,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/uv-printed-custom-leather-hat-patches-7,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-photo-magnets-4,Photo Magnets,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/photo-magnets-4,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-car-magnets-2,Car Magnets,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/car-magnets-2,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-business-magnets-2,Business Magnets,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/business-magnets-2,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-truck-magnets-1,Truck Magnets,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/truck-magnets-1,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-tpu-patches-84,UV-Printed Custom TPU Patches,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/uv-printed-custom-tpu-patches-84,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-softballs,Custom Softballs,Gang Sheet,https://dtfvirginia.com/products/custom-softballs,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-baseballs,Custom Baseballs,Gang Sheet,https://dtfvirginia.com/products/custom-baseballs,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-hockey-pucks,Custom Hockey Pucks,Gang Sheet,https://dtfvirginia.com/products/custom-hockey-pucks,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-pickleballs,Custom Pickleballs,Gang Sheet,https://dtfvirginia.com/products/custom-pickleballs,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-personalized-tumblers,Personalized Tumblers,Competitor Parity,https://dtfvirginia.com/products/personalized-tumblers,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-dtf-transfer-by-size,UV DTF Transfer By Size,Gang Sheet,https://dtfvirginia.com/products/uv-dtf-transfer-by-size,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-glitter-dtf-gang-sheet,"Glitter DTF Gang Sheet 22""",Gang Sheet,https://dtfvirginia.com/products/glitter-dtf-gang-sheet,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-fluorescent-dtf-printing-bold-bright-stunning,"Fluorescent DTF Printing - Bold, Bright, and Stunning",Gang Sheet,https://dtfvirginia.com/products/fluorescent-dtf-printing-bold-bright-stunning,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-dtf-gang-sheets-your-colors-deserve-to-pop,"Custom DTF Gang Sheets 22""",Gang Sheet,https://dtfvirginia.com/products/custom-dtf-gang-sheets-your-colors-deserve-to-pop,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-dtf-stickers,"22"" UV DTF Stickers",Gang Sheet,https://dtfvirginia.com/products/uv-dtf-stickers,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-professional-vector-design-services,Professional Vector Design Services,Competitor Parity,https://dtfvirginia.com/products/professional-vector-design-services,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-digital-factory-dtf-desktop-edition,Digital Factory 12 Direct to Film (DTF) Desktop Edition,Software,https://dtfvirginia.com/products/digital-factory-dtf-desktop-edition,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-add-driver-port-24-wide-or-larger,"Add driver/Port (24"" Wide or Larger)",RIP Software,https://dtfvirginia.com/products/add-driver-port-24-wide-or-larger,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-cadlink-digital-factory-10-for-wide-format-dtf-activation-code,CADlink Digital Factory Direct to Film (DTF) for Wide Format,Software,https://dtfvirginia.com/products/cadlink-digital-factory-10-for-wide-format-dtf-activation-code,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-cadlink-digitalfactory-10-for-dtf-w-activation-code,"Add driver/Port (23"" Wide or Smaller)",RIP Software,https://dtfvirginia.com/products/cadlink-digitalfactory-10-for-dtf-w-activation-code,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-cadlink-digital-factory-10-dtf-printing-15-days-trial-desktop-wide-format,Cadlink Digital Factory v12 DTF Printing (15 Days Trial) Desktop & Wide Format,RIP Software,https://dtfvirginia.com/products/cadlink-digital-factory-10-dtf-printing-15-days-trial-desktop-wide-format,Product category or title suggests Jesse should confirm fulfillment before publishing.
